CustomerID,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn,Monthly_Tenure_Ratio,Phone_Internet_Both,TotalCharges_Age_Ratio,Uses_Streaming
995,32.0,1,7,1,1,0,1,2,43.92,302.69,0,1,1,0,0,5.49,1,9.172424242424242,1
1923,64.0,1,11,1,0,0,0,3,85.85,940.15,1,0,0,0,1,7.154166666666666,0,14.463846153846154,1
2790,68.0,0,61,1,1,0,0,2,30.92,1904.74,1,1,1,0,0,0.49870967741935485,1,27.604927536231884,1
2173,61.0,0,68,1,0,1,1,1,115.36,2132.26,0,0,0,0,0,1.6718840579710146,0,34.39129032258065,0
1255,69.0,0,25,1,0,1,0,2,49.43,1253.39,0,1,1,1,0,1.9011538461538462,0,17.90557142857143,1
884,44.0,1,12,0,1,1,0,0,49.54,576.25,1,1,0,0,0,3.810769230769231,0,12.805555555555555,1
2520,54.0,1,26,1,0,1,0,2,24.61,633.55,1,1,1,0,0,0.9114814814814814,0,11.519090909090908,1
1148,68.0,0,12,1,1,1,0,2,44.6,539.29,0,1,0,0,0,3.430769230769231,1,7.815797101449275,1
2213,24.0,0,43,1,0,0,1,1,61.9,2662.64,1,1,0,1,0,1.4068181818181817,0,106.5056,1
1857,38.0,1,51,1,1,1,0,2,56.96,2132.26,1,1,1,0,0,1.0953846153846154,1,54.67333333333334,1
1381,26.0,1,37,1,0,1,2,2,47.3,1747.8,1,1,1,0,0,1.2447368421052631,0,64.73333333333333,1
2308,56.0,1,46,1,1,0,2,2,24.07,1131.95,1,0,1,0,0,0.512127659574468,1,19.858771929824563,1
732,35.0,1,53,1,1,1,0,3,50.06,2655.65,1,1,0,0,0,0.9270370370370371,1,73.76805555555556,1
3624,21.0,0,13,1,1,0,2,0,97.83,1277.83,1,0,0,1,0,6.987857142857143,1,58.083181818181814,1
1660,42.0,1,54,1,1,1,0,2,63.88,3443.08,0,0,1,0,0,1.1614545454545455,1,80.07162790697674,0
3316,31.0,1,57,1,0,1,0,0,49.08,2799.99,0,0,0,0,0,0.8462068965517241,0,87.4996875,0
2369,67.0,1,4,1,1,0,0,2,50.48,201.8,0,1,0,0,0,10.096,1,2.9676470588235295,1
872,26.0,0,49,1,1,0,0,1,75.44,3707.75,1,0,1,1,0,1.5088,1,137.32407407407408,1
3586,43.0,0,7,0,1,1,1,1,50.23,362.48,1,1,0,1,0,6.27875,0,8.238181818181818,1
3273,44.0,1,11,1,1,0,0,1,83.08,917.96,0,1,0,1,1,6.923333333333333,1,20.39911111111111,1
1882,37.0,1,54,1,1,1,2,1,118.95,6424.01,0,1,0,0,0,2.1627272727272726,1,169.05289473684212,1
1760,45.0,1,45,0,0,1,1,2,24.12,1068.61,1,0,1,1,0,0.5243478260869565,0,23.23065217391304,1
1104,64.0,0,23,0,0,1,0,2,36.87,830.87,1,1,1,0,0,1.53625,0,12.782615384615385,1
2071,24.0,0,28,1,1,1,1,0,37.91,1062.3,1,0,1,0,0,1.3072413793103448,1,42.492,1
1931,44.0,0,57,1,1,0,2,2,64.71,3697.22,1,1,0,1,0,1.1156896551724136,1,82.16044444444444,1
380,25.0,1,26,1,1,0,0,2,24.14,640.96,1,0,0,1,0,0.8940740740740741,1,24.652307692307694,1
32,64.0,0,25,0,1,0,0,2,67.75,1684.85,0,0,1,0,0,2.605769230769231,0,25.920769230769228,0
1852,52.0,1,54,0,1,0,0,3,112.89,6080.97,1,0,1,1,0,2.0525454545454545,0,114.73528301886793,1
464,31.0,1,29,1,0,1,0,3,21.16,622.97,0,1,1,0,0,0.7053333333333334,0,19.4678125,1
1406,34.0,1,36,1,1,0,0,2,56.49,2025.49,0,0,0,1,0,1.5267567567567568,1,57.87114285714286,0
3338,53.0,0,14,0,0,0,0,2,96.09,1329.49,1,0,1,0,0,6.406000000000001,0,24.620185185185186,1
460,67.0,1,35,1,1,0,1,0,35.45,1235.81,0,1,0,1,0,0.9847222222222223,1,18.173676470588234,1
2300,57.0,0,30,1,1,0,1,2,27.76,827.69,0,1,0,0,0,0.895483870967742,1,14.270517241379311,1
1386,21.0,0,17,0,1,0,0,1,83.08,1425.56,1,0,0,0,0,4.615555555555556,0,64.79818181818182,1
2165,19.0,1,67,0,1,1,0,2,21.0,1415.66,1,1,0,0,0,0.3088235294117647,0,70.783,1
3422,23.0,1,30,0,1,0,0,0,100.18,2998.03,0,0,1,1,0,3.2316129032258067,0,124.91791666666667,0
279,59.0,0,45,1,0,0,0,3,26.69,1215.03,0,1,0,0,0,0.5802173913043479,0,20.2505,1
3476,21.0,1,51,1,1,0,0,2,72.44,3695.69,0,0,0,1,0,1.393076923076923,1,167.9859090909091,0
2194,46.0,0,47,1,0,1,2,3,94.01,4429.08,1,1,0,0,0,1.9585416666666668,0,94.23574468085106,1
1874,35.0,1,53,1,1,1,0,3,44.2,2355.87,1,1,1,0,0,0.8185185185185185,1,65.44083333333333,1
2679,43.0,0,64,1,1,0,0,1,30.35,1939.77,1,1,1,1,0,0.46692307692307694,1,44.08568181818182,1
1648,61.0,0,38,1,1,1,0,0,37.56,1432.99,1,0,0,1,0,0.9630769230769232,1,23.11274193548387,1
2261,51.0,0,64,1,1,0,2,2,105.47,6746.01,0,1,0,1,0,1.6226153846153846,1,129.73096153846154,1
3019,27.0,0,7,0,1,1,1,2,90.58,643.36,0,0,0,1,1,11.3225,0,22.97714285714286,0
677,53.0,1,22,1,1,1,0,2,39.81,876.72,0,0,0,0,0,1.7308695652173913,1,16.235555555555557,0
1284,31.0,1,41,1,1,1,0,2,91.61,3765.61,0,1,0,1,0,2.1811904761904763,1,117.6753125,1
576,48.0,0,10,1,1,1,0,3,90.86,923.85,0,1,1,0,1,8.26,1,18.854081632653063,1
3315,65.0,0,57,1,1,1,0,1,119.77,6832.36,0,1,0,1,0,2.065,1,103.52060606060606,1
797,32.0,1,7,0,1,1,2,3,59.16,413.19,0,1,0,0,0,7.395,0,12.520909090909091,1
2988,25.0,1,50,1,1,1,1,0,106.49,5323.73,1,1,0,1,0,2.0880392156862744,1,204.75884615384615,1
2431,31.0,1,52,1,0,1,1,0,64.64,3331.71,0,0,0,1,0,1.219622641509434,0,104.1159375,0
2968,40.0,1,33,1,1,1,0,1,109.78,3615.61,1,0,1,0,0,3.228823529411765,1,88.18560975609756,1
3536,57.0,1,1,1,0,1,0,2,29.16,38.49,1,1,1,0,0,14.58,0,0.6636206896551724,1
2450,38.0,1,53,1,1,1,2,0,37.53,1998.79,1,0,0,0,0,0.6950000000000001,1,51.25102564102564,1
2543,33.0,0,60,1,0,0,0,1,105.0,6292.65,1,0,1,0,0,1.721311475409836,0,185.07794117647057,1
835,62.0,1,34,1,1,1,2,2,101.93,3467.27,0,0,0,0,0,2.9122857142857144,1,55.036031746031746,0
3697,35.0,1,4,1,0,1,0,2,50.54,200.27,1,0,0,0,0,10.108,0,5.563055555555556,1
823,44.0,0,17,1,1,0,0,1,79.68,1361.46,0,0,1,1,0,4.426666666666667,1,30.25466666666667,0
2675,41.0,1,4,1,0,1,1,0,58.27,255.17,1,1,0,1,0,11.654,0,6.0754761904761905,1
3448,43.0,1,43,1,1,0,0,2,21.03,911.37,1,0,1,0,0,0.47795454545454547,1,20.712954545454547,1
469,42.0,1,4,1,1,0,0,3,22.61,83.74,1,0,0,0,0,4.522,1,1.9474418604651162,1
3278,62.0,1,1,0,1,1,0,3,25.43,24.65,0,1,1,0,0,12.715,0,0.39126984126984127,1
567,58.0,1,71,0,1,1,1,3,79.41,5652.13,0,1,0,1,0,1.1029166666666665,0,95.79881355932204,1
2686,46.0,0,50,1,1,1,0,2,47.92,2381.91,1,1,0,0,0,0.939607843137255,1,50.678936170212765,1
2935,32.0,1,61,1,1,1,0,2,34.39,2091.64,1,1,0,0,0,0.5546774193548387,1,63.383030303030296,1
1055,62.0,0,35,1,1,1,1,0,114.11,4000.95,0,1,0,0,0,3.169722222222222,1,63.50714285714285,1
2447,18.0,0,8,1,0,1,0,0,32.13,269.98,1,0,0,1,0,3.5700000000000003,0,14.209473684210527,1
1872,42.0,1,24,0,1,0,2,1,87.4,2103.69,1,0,0,0,0,3.4960000000000004,0,48.92302325581395,1
1208,24.0,0,36,1,0,1,0,2,109.42,3933.05,1,1,0,0,0,2.9572972972972975,0,157.322,1
3523,26.0,1,50,1,1,1,1,1,36.38,1824.37,1,1,0,0,0,0.7133333333333334,1,67.56925925925925,1
3224,44.0,0,43,1,1,0,0,2,41.47,1787.35,1,0,0,0,0,0.9425,1,39.718888888888884,1
82,18.0,0,27,1,0,1,1,3,69.59,2092.77,1,1,1,0,0,2.485357142857143,0,110.1457894736842,1
3343,61.0,1,32,1,0,1,1,1,70.84,2265.91,0,1,0,1,0,2.146666666666667,0,36.54693548387097,1
150,25.0,1,18,0,0,1,2,3,72.1,1298.33,0,0,1,0,0,3.7947368421052627,0,49.935769230769225,0
1460,41.0,1,28,1,1,1,0,2,75.47,2104.09,0,1,1,0,0,2.602413793103448,1,50.09738095238096,1
592,28.0,1,29,0,1,0,0,2,114.99,3359.51,0,1,1,1,0,3.8329999999999997,0,115.84517241379311,1
3151,68.0,1,16,1,1,1,1,3,25.38,407.65,0,1,1,1,0,1.4929411764705882,1,5.9079710144927535,1
3194,34.0,0,47,1,1,1,0,0,96.04,4519.37,0,0,0,0,0,2.0008333333333335,1,129.12485714285714,0
2016,25.0,0,59,1,1,1,0,1,43.25,2549.57,0,0,1,0,0,0.7208333333333333,1,98.06038461538462,0
2641,52.0,0,31,1,0,1,2,0,57.37,1786.92,1,1,0,0,0,1.7928125,0,33.715471698113205,1
3453,52.0,0,4,1,0,1,0,1,28.93,102.74,1,1,0,1,0,5.786,0,1.9384905660377358,1
1438,50.0,0,37,1,1,0,2,0,64.56,2371.26,0,0,0,0,0,1.6989473684210528,1,46.49529411764706,0
3113,22.0,0,17,0,1,0,0,1,100.42,1706.84,0,0,0,0,0,5.578888888888889,0,74.21043478260869,0
27,59.0,0,39,1,0,1,1,2,29.87,1185.47,0,0,1,0,0,0.74675,0,19.757833333333334,0
1651,56.0,1,48,1,1,1,0,1,47.56,2294.96,0,0,0,0,0,0.9706122448979593,1,40.26245614035088,0
1517,58.0,1,46,1,1,0,0,2,57.31,2628.18,1,0,0,0,0,1.2193617021276597,1,44.54542372881355,1
2246,45.0,0,48,1,1,1,2,1,30.39,1463.88,1,0,1,1,0,0.6202040816326531,1,31.823478260869567,1
1834,24.0,0,39,0,1,1,0,2,96.23,3746.61,0,0,1,0,0,2.4057500000000003,0,149.86440000000002,0
788,26.0,1,4,0,0,1,2,0,98.69,399.02,1,0,1,0,1,19.738,0,14.778518518518517,1
2250,25.0,1,30,1,1,1,1,0,103.59,3112.74,1,0,1,1,0,3.3416129032258066,1,119.72076923076922,1
2402,29.0,1,30,1,1,1,0,1,78.39,2360.96,0,1,0,0,0,2.528709677419355,1,78.69866666666667,1
3552,51.0,1,22,1,1,0,2,0,70.72,1540.18,1,0,1,1,0,3.074782608695652,1,29.618846153846157,1
2200,44.0,0,66,1,0,0,0,2,46.26,3040.5,0,0,0,0,0,0.6904477611940298,0,67.56666666666666,0
1754,65.0,1,12,0,0,1,2,3,85.52,1025.48,0,0,0,0,0,6.578461538461538,0,15.537575757575757,0
3027,40.0,0,36,1,1,1,0,2,64.46,2310.24,1,1,1,0,0,1.742162162162162,1,56.34731707317073,1
1180,41.0,0,18,0,1,0,2,2,117.08,2096.34,1,0,0,0,0,6.162105263157895,0,49.91285714285715,1
24,54.0,0,53,1,1,1,1,2,116.82,6194.18,1,0,1,0,0,2.163333333333333,1,112.62145454545455,1
990,52.0,1,71,0,1,0,0,2,110.52,2132.26,0,1,1,0,0,1.535,0,40.23132075471698,1
1072,61.0,1,1,1,1,1,1,3,56.01,78.59,1,0,0,0,0,28.005,1,1.2675806451612903,1
3288,57.0,0,58,0,1,1,0,1,56.8,3289.07,1,0,1,0,0,0.9627118644067796,0,56.708103448275864,1
1347,39.0,0,6,1,1,1,0,1,105.27,628.92,0,1,1,0,1,15.038571428571428,1,15.722999999999999,1
481,44.0,0,70,1,1,0,0,2,92.91,6506.68,1,1,1,0,0,1.3085915492957747,1,144.5928888888889,1
652,44.0,1,44,1,1,1,0,2,90.44,3964.28,1,0,0,1,0,2.009777777777778,1,88.09511111111111,1
518,18.0,0,24,1,0,1,0,2,47.96,1156.13,1,0,0,0,0,1.9184,0,60.84894736842106,1
2289,52.0,1,19,1,1,1,0,2,103.33,1966.68,1,1,0,1,0,5.1665,1,37.10716981132076,1
1572,54.0,0,18,0,1,0,0,2,77.94,1399.43,0,1,0,0,0,4.1021052631578945,0,25.444181818181818,1
3483,64.0,0,30,1,0,0,0,2,64.69,1943.44,1,1,1,1,0,2.0867741935483872,0,29.899076923076922,1
3482,44.0,0,42,1,1,0,0,3,106.54,4478.96,1,1,1,0,0,2.4776744186046513,1,99.53244444444445,1
107,20.0,1,33,0,0,0,1,3,59.42,1975.21,0,1,1,1,0,1.7476470588235296,0,94.05761904761906,1
3460,18.0,1,12,0,1,1,1,3,85.39,1049.68,0,0,0,1,0,6.568461538461539,0,55.24631578947369,0
1100,22.0,0,27,1,1,1,0,2,66.59,1787.31,1,0,0,0,0,2.378214285714286,1,77.70913043478261,1
1609,43.0,1,39,1,0,1,2,0,79.27,3078.56,0,0,1,0,0,1.98175,0,69.96727272727273,0
1126,31.0,0,9,1,1,1,1,1,24.05,217.48,0,1,1,0,0,2.4050000000000002,1,6.79625,1
3227,56.0,1,21,1,0,0,1,2,66.11,1367.52,1,1,1,1,0,3.005,0,23.99157894736842,1
1337,44.0,1,29,0,1,0,0,2,75.65,2200.34,0,1,0,0,0,2.521666666666667,0,48.89644444444445,1
3047,26.0,1,33,0,1,1,0,2,69.27,2287.04,0,0,0,1,0,2.0373529411764704,0,84.70518518518519,0
1440,32.0,0,62,1,1,0,2,2,104.74,6497.55,1,0,1,0,0,1.6625396825396825,1,196.89545454545456,1
3138,32.0,1,15,0,1,0,2,3,51.11,763.61,0,0,1,0,0,3.194375,0,23.13969696969697,0
2486,43.0,1,2,1,1,1,0,2,108.41,219.37,0,1,1,1,1,36.13666666666666,1,4.985681818181818,1
2455,59.0,0,52,1,1,1,0,3,60.35,3142.92,0,0,0,0,0,1.138679245283019,1,52.382,0
3404,30.0,0,44,0,1,1,1,2,89.45,3937.8,1,0,0,0,0,1.9877777777777779,0,127.02580645161291,1
694,68.0,0,54,1,1,1,1,0,28.67,1534.73,1,0,1,0,0,0.5212727272727273,1,22.242463768115943,1
993,49.0,0,18,0,0,1,2,2,40.02,722.08,0,0,1,1,0,2.1063157894736846,0,14.441600000000001,0
2388,56.0,1,3,1,1,1,0,3,96.12,306.9,1,0,1,0,1,24.03,1,5.384210526315789,1
2105,66.0,1,7,0,0,1,0,2,21.23,1510.2,0,1,0,0,0,2.65375,0,22.540298507462687,1
2014,69.0,1,43,1,1,0,0,2,116.85,5025.92,1,0,0,0,0,2.6556818181818183,1,71.79885714285714,1
3548,49.0,1,38,1,1,1,0,1,39.06,1499.88,1,1,0,0,0,1.0015384615384615,1,29.997600000000002,1
1616,21.0,1,37,1,0,1,0,0,110.13,4067.35,0,1,0,1,0,2.898157894736842,0,184.87954545454545,1
1800,47.0,0,58,1,1,0,2,2,71.59,4161.12,0,1,1,1,0,1.2133898305084747,1,86.69,1
891,54.0,1,33,0,1,1,0,2,76.46,2517.88,1,0,0,1,0,2.2488235294117644,0,45.779636363636364,1
3465,40.0,1,59,1,1,1,2,0,28.41,1687.06,1,1,1,0,0,0.4735,1,41.14780487804878,1
1730,56.0,1,11,1,1,0,0,3,56.52,629.7,0,0,1,0,0,4.71,1,11.047368421052632,0
992,62.0,0,68,1,1,1,0,3,35.62,2418.04,0,0,0,0,0,0.5162318840579709,1,38.3815873015873,0
1965,32.0,0,68,0,0,0,0,1,72.59,4933.46,0,0,0,0,0,1.0520289855072464,0,149.49878787878788,0
2717,60.0,1,22,1,1,1,0,2,75.07,1661.32,1,0,0,0,0,3.2639130434782606,1,27.234754098360654,1
2457,46.0,0,66,0,0,1,2,2,90.97,5985.47,1,0,0,1,0,1.3577611940298506,0,127.3504255319149,1
2292,53.0,0,44,1,1,1,0,2,107.83,4740.1,0,1,0,0,0,2.3962222222222223,1,87.77962962962964,1
3447,30.0,0,6,0,1,1,0,0,66.82,407.12,0,1,1,0,0,9.545714285714284,0,13.132903225806452,1
238,44.0,0,42,1,1,0,0,1,43.34,1817.2,1,0,0,0,0,1.0079069767441862,1,40.382222222222225,1
402,24.0,0,25,0,0,0,0,1,53.36,1335.35,0,1,0,1,0,2.0523076923076924,0,53.413999999999994,1
2142,68.0,0,57,1,0,0,1,0,104.71,5948.06,1,1,0,0,0,1.8053448275862067,0,86.20376811594204,1
1480,39.0,0,55,1,1,0,0,1,34.59,1893.91,0,0,0,0,0,0.6176785714285715,1,47.347750000000005,0
1734,45.0,1,16,0,1,1,1,0,82.73,1330.47,0,0,0,1,0,4.866470588235295,0,28.92326086956522,0
754,19.0,1,14,1,1,0,1,0,21.31,2908.3,1,0,0,0,0,1.4206666666666665,1,145.41500000000002,1
10,59.0,0,39,0,1,0,0,1,44.57,1725.21,0,0,1,0,0,1.11425,0,28.7535,0
3469,62.0,1,28,1,1,0,0,2,79.14,2226.54,1,0,0,1,0,2.728965517241379,1,35.341904761904765,1
786,23.0,1,51,1,0,0,1,0,65.64,3352.8,1,1,0,1,0,1.2623076923076924,0,139.70000000000002,1
1078,45.0,0,49,1,1,1,1,0,69.35,3387.26,0,1,1,0,0,1.3869999999999998,1,73.63608695652174,1
1783,45.0,1,9,1,0,1,0,1,86.06,775.93,1,0,0,1,1,8.606,0,16.86804347826087,1
2765,61.0,0,58,0,1,0,0,1,43.46,2510.12,0,1,1,0,0,0.7366101694915255,0,40.4858064516129,1
3647,61.0,0,45,1,1,1,0,1,48.08,2162.08,1,1,1,0,0,1.0452173913043479,1,34.872258064516124,1
1667,37.0,0,22,0,1,1,0,1,88.45,1947.66,0,0,0,1,0,3.845652173913044,0,51.254210526315795,0
1955,47.0,1,32,1,0,0,0,3,73.83,2354.48,1,1,0,1,0,2.2372727272727273,0,49.05166666666667,1
78,28.0,1,69,1,0,1,0,2,21.46,1488.16,0,1,1,0,0,0.3065714285714286,0,51.31586206896552,1
2434,45.0,1,69,1,1,1,0,2,87.03,6014.04,0,1,0,1,0,1.2432857142857143,1,130.74,1
486,42.0,1,42,0,1,1,0,3,82.01,3447.06,0,1,0,0,0,1.9072093023255816,0,80.16418604651163,1
3689,56.0,0,53,1,1,0,0,3,27.86,1480.72,0,1,0,0,0,0.5159259259259259,1,25.977543859649124,1
1647,50.0,0,59,1,1,1,2,3,94.75,5575.72,1,0,0,0,0,1.5791666666666666,1,109.3278431372549,1
811,18.0,1,39,0,1,0,0,3,72.21,2829.81,1,0,0,1,0,1.8052499999999998,0,148.93736842105264,1
1956,44.0,0,15,1,0,1,2,1,40.47,606.14,0,1,0,0,0,2.529375,0,13.469777777777777,1
2652,69.0,0,71,1,1,1,0,2,75.94,5382.39,0,1,0,0,0,1.0547222222222221,1,76.89128571428571,1
417,30.0,1,29,1,0,1,1,1,79.55,2308.41,1,1,1,1,0,2.6516666666666664,0,74.46483870967741,1
3680,58.0,0,3,1,1,0,0,1,112.01,343.48,1,0,1,1,1,28.0025,1,5.821694915254238,1
2854,20.0,1,10,1,1,1,1,3,94.21,947.22,0,1,1,0,1,8.564545454545454,1,45.105714285714285,1
1112,56.0,0,29,0,0,0,0,3,50.19,1444.66,0,0,0,1,0,1.6729999999999998,0,25.344912280701756,0
3737,23.0,1,35,1,1,0,0,0,31.81,1120.93,0,1,1,1,0,0.8836111111111111,1,46.70541666666667,1
807,25.0,0,6,0,0,0,2,2,105.32,631.31,1,0,1,0,1,15.045714285714284,0,24.281153846153845,1
2093,44.0,0,12,1,1,0,0,2,104.61,1260.33,1,1,0,1,0,8.046923076923077,1,28.00733333333333,1
1856,26.0,1,38,1,1,1,2,2,37.53,1418.12,1,1,0,0,0,0.9623076923076923,1,52.52296296296296,1
3694,54.0,1,19,1,0,1,0,2,26.21,508.45,1,1,0,0,0,1.3105,0,9.244545454545454,1
2228,50.0,1,67,1,0,0,0,2,91.19,6111.56,0,0,1,0,0,1.341029411764706,0,119.83450980392158,0
1763,68.0,1,8,0,1,0,0,2,92.26,749.97,0,1,1,1,1,10.251111111111111,0,10.869130434782608,1
881,59.0,0,8,1,1,0,1,2,37.71,286.33,1,1,1,0,0,4.19,1,4.772166666666666,1
1136,61.0,0,47,1,0,0,0,0,86.82,4066.53,1,0,1,0,0,1.8087499999999999,0,65.5891935483871,1
3120,41.0,1,4,0,0,0,2,2,47.89,189.16,1,1,1,1,0,9.578,0,4.503809523809524,1
1808,32.0,0,51,1,1,1,0,0,46.06,2363.74,0,1,1,1,0,0.8857692307692309,1,71.62848484848485,1
3379,49.0,1,67,1,0,0,1,1,52.45,3533.78,1,0,1,1,0,0.7713235294117647,0,70.6756,1
389,49.0,1,45,1,1,0,0,0,72.04,3232.92,1,1,0,1,0,1.5660869565217392,1,64.6584,1
3696,41.0,0,8,0,1,0,0,0,100.45,804.13,0,0,1,1,1,11.161111111111111,0,19.14595238095238,0
636,58.0,0,16,1,1,1,0,3,69.86,1119.31,0,1,1,1,0,4.109411764705882,1,18.971355932203387,1
2221,69.0,1,67,0,1,0,0,2,49.8,3343.78,0,1,0,0,0,0.7323529411764705,0,47.76828571428572,1
551,66.0,1,9,0,0,0,0,1,108.4,984.45,1,1,0,0,1,10.84,0,14.693283582089553,1
1106,66.0,1,60,0,1,1,0,1,69.59,1519.46,0,0,0,0,0,1.1408196721311477,0,22.678507462686568,0
1973,69.0,0,71,0,0,0,0,3,99.71,7080.06,1,0,0,0,0,1.384861111111111,0,101.1437142857143,1
252,29.0,0,15,0,1,1,0,2,98.44,1456.51,0,0,0,0,0,6.1525,0,48.550333333333334,0
2468,56.0,0,71,1,0,0,0,0,45.35,3227.96,0,1,0,0,0,0.6298611111111111,0,56.63087719298246,1
2293,19.0,0,41,1,0,1,0,2,39.83,1629.64,0,0,0,0,0,0.9483333333333333,0,81.482,0
3100,20.0,1,22,0,1,1,0,2,107.47,2352.29,1,1,0,1,0,4.6726086956521735,0,112.01380952380953,1
733,66.0,1,24,0,1,1,2,1,75.89,1824.69,0,1,1,1,0,3.0356,0,27.23417910447761,1
1012,54.0,1,44,1,1,0,2,3,24.6,1078.7,1,0,0,0,0,0.5466666666666667,1,19.612727272727273,1
3596,66.0,1,1,1,0,1,0,0,109.08,121.69,1,1,0,1,1,54.54,0,1.816268656716418,1
96,34.0,1,10,0,0,0,2,1,54.9,540.07,1,1,0,1,0,4.990909090909091,0,15.43057142857143,1
861,66.0,1,56,0,1,0,1,3,54.22,3058.55,0,1,0,1,0,0.9512280701754385,0,45.650000000000006,1
2816,19.0,0,50,0,0,0,0,3,84.33,4225.05,1,0,0,0,0,1.653529411764706,0,211.2525,1
2400,19.0,0,12,0,1,1,0,2,86.13,1046.44,0,1,0,1,0,6.625384615384615,0,52.322,1
3533,45.0,1,60,0,1,0,2,2,55.33,3309.51,0,1,0,0,0,0.9070491803278689,0,71.9458695652174,1
